|   INFO | state_out_work:96 | {"data": {"status": "STANDBY", "batterystatus": {"current": 0.0, "voltage": 12.587, "level": 100}, "groundspeed": 0.0, "attitude": {"y": 0.00045510908239521086, "x": 0.000661238213069737, "z": 0.001891728607006371}, "armed": false, "armable": false, "airspeed": 0.0, "location": {"y": -86.241855, "x": 41.714521, "z": -0.05}, "velocity": {"y": 0.0, "x": -0.01, "z": 0.0}, "heading": 0, "mode": "STABILIZE"}, "groundstationid": "simplegcs", "type": "state", "uavid": "drone0", "sendtimestamp": 1547209397759} |
|   INFO | state_out_work:96 | {"data": {"status": "STANDBY", "batterystatus": {"current": 0.0, "voltage": 12.587, "level": 100}, "groundspeed": 0.0, "attitude": {"y": 0.0005236479337327182, "x": 0.0007049296982586384, "z": 0.0020332608837634325}, "armed": false, "armable": false, "airspeed": 0.0, "location": {"y": -86.241855, "x": 41.714521, "z": -0.052}, "velocity": {"y": 0.01, "x": -0.01, "z": 0.0}, "heading": 0, "mode": "STABILIZE"}, "groundstationid": "simplegcs", "type": "state", "uavid": "drone0", "sendtimestamp": 1547209398761} |
|   INFO | state_out_work:96 | {"data": {"status": "STANDBY", "batterystatus": {"current": 0.0, "voltage": 12.587, "level": 100}, "groundspeed": 0.0, "attitude": {"y": 0.000589827832300216, "x": 0.0007597639923915267, "z": 0.002192340325564146}, "armed": false, "armable": false, "airspeed": 0.0, "location": {"y": -86.241855, "x": 41.714521, "z": -0.054}, "velocity": {"y": 0.01, "x": -0.01, "z": 0.0}, "heading": 0, "mode": "STABILIZE"}, "groundstationid": "simplegcs", "type": "state", "uavid": "drone0", "sendtimestamp": 1547209399762} |
|   INFO | state_out_work:96 | {"data": {"status": "STANDBY", "batterystatus": {"current": 0.0, "voltage": 12.587, "level": 100}, "groundspeed": 0.0, "attitude": {"y": 0.0006461370503529906, "x": 0.0008190363878384233, "z": 0.002316606929525733}, "armed": false, "armable": false, "airspeed": 0.0, "location": {"y": -86.241855, "x": 41.714521, "z": -0.056}, "velocity": {"y": 0.01, "x": -0.01, "z": 0.0}, "heading": 0, "mode": "STABILIZE"}, "groundstationid": "simplegcs", "type": "state", "uavid": "drone0", "sendtimestamp": 1547209400763} |
|   INFO | state_out_work:96 | {"data": {"status": "STANDBY", "batterystatus": {"current": 0.0, "voltage": 12.587, "level": 100}, "groundspeed": 0.0, "attitude": {"y": 0.0006536237779073417, "x": 0.0008483594283461571, "z": 0.002420522505417466}, "armed": false, "armable": false, "airspeed": 0.0, "location": {"y": -86.241855, "x": 41.714521, "z": -0.057}, "velocity": {"y": 0.01, "x": -0.01, "z": 0.0}, "heading": 0, "mode": "STABILIZE"}, "groundstationid": "simplegcs", "type": "state", "uavid": "drone0", "sendtimestamp": 1547209401764} |
|   INFO | state_out_work:96 | {"data": {"status": "STANDBY", "batterystatus": {"current": 0.0, "voltage": 12.587, "level": 100}, "groundspeed": 0.0, "attitude": {"y": 0.0006840848946012557, "x": 0.0008879330125637352, "z": 0.002569823293015361}, "armed": false, "armable": false, "airspeed": 0.0, "location": {"y": -86.241855, "x": 41.714521, "z": -0.058}, "velocity": {"y": 0.01, "x": -0.01, "z": 0.0}, "heading": 0, "mode": "STABILIZE"}, "groundstationid": "simplegcs", "type": "state", "uavid": "drone0", "sendtimestamp": 1547209402766} |
|   INFO | state_out_work:96 | {"data": {"status": "STANDBY", "batterystatus": {"current": 0.0, "voltage": 12.587, "level": 100}, "groundspeed": 0.0, "attitude": {"y": 0.0007150017190724611, "x": 0.0009559871978126466, "z": 0.00272271572612226}, "armed": false, "armable": false, "airspeed": 0.0, "location": {"y": -86.241855, "x": 41.714521, "z": -0.059}, "velocity": {"y": 0.01, "x": -0.01, "z": 0.0}, "heading": 0, "mode": "STABILIZE"}, "groundstationid": "simplegcs", "type": "state", "uavid": "drone0", "sendtimestamp": 1547209403769} |
|   INFO | state_out_work:96 | {"data": {"status": "STANDBY", "batterystatus": {"current": 0.0, "voltage": 12.587, "level": 100}, "groundspeed": 0.0, "attitude": {"y": 0.0007524508400820196, "x": 0.0009987306548282504, "z": 0.002924704924225807}, "armed": false, "armable": false, "airspeed": 0.0, "location": {"y": -86.241855, "x": 41.714521, "z": -0.06}, "velocity": {"y": 0.01, "x": -0.01, "z": 0.0}, "heading": 0, "mode": "STABILIZE"}, "groundstationid": "simplegcs", "type": "state", "uavid": "drone0", "sendtimestamp": 1547209404769} |
|   INFO | state_out_work:96 | {"data": {"status": "STANDBY", "batterystatus": {"current": 0.0, "voltage": 12.587, "level": 100}, "groundspeed": 0.0, "attitude": {"y": 0.0007640472613275051, "x": 0.0010257839458063245, "z": 0.003050196450203657}, "armed": false, "armable": false, "airspeed": 0.0, "location": {"y": -86.241855, "x": 41.714521, "z": -0.061}, "velocity": {"y": 0.01, "x": -0.01, "z": 0.0}, "heading": 0, "mode": "STABILIZE"}, "groundstationid": "simplegcs", "type": "state", "uavid": "drone0", "sendtimestamp": 1547209405771} |
|   INFO | state_out_work:96 | {"data": {"status": "STANDBY", "batterystatus": {"current": 0.0, "voltage": 12.587, "level": 100}, "groundspeed": 0.0, "attitude": {"y": 0.0007891886634752154, "x": 0.0010685065062716603, "z": 0.0032524915877729654}, "armed": false, "armable": false, "airspeed": 0.0, "location": {"y": -86.241855, "x": 41.714521, "z": -0.062}, "velocity": {"y": 0.01, "x": -0.01, "z": 0.0}, "heading": 0, "mode": "STABILIZE"}, "groundstationid": "simplegcs", "type": "state", "uavid": "drone0", "sendtimestamp": 1547209406773} |
